Species,species_numeric,measurement_type,measurement_value
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,4.7
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,4.4
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,4.3
Iris-setosa,0,SepalLengthCm,5.8
Iris-setosa,0,SepalLengthCm,5.7
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,5.7
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.2
Iris-setosa,0,SepalLengthCm,5.2
Iris-setosa,0,SepalLengthCm,4.7
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,5.4
Iris-setosa,0,SepalLengthCm,5.2
Iris-setosa,0,SepalLengthCm,5.5
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.5
Iris-setosa,0,SepalLengthCm,4.9
Iris-setosa,0,SepalLengthCm,4.4
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,4.5
Iris-setosa,0,SepalLengthCm,4.4
Iris-setosa,0,SepalLengthCm,5.0
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.8
Iris-setosa,0,SepalLengthCm,5.1
Iris-setosa,0,SepalLengthCm,4.6
Iris-setosa,0,SepalLengthCm,5.3
Iris-setosa,0,SepalLengthCm,5.0
Iris-versicolor,1,SepalLengthCm,7.0
Iris-versicolor,1,SepalLengthCm,6.4
Iris-versicolor,1,SepalLengthCm,6.9
Iris-versicolor,1,SepalLengthCm,5.5
Iris-versicolor,1,SepalLengthCm,6.5
Iris-versicolor,1,SepalLengthCm,5.7
Iris-versicolor,1,SepalLengthCm,6.3
Iris-versicolor,1,SepalLengthCm,4.9
Iris-versicolor,1,SepalLengthCm,6.6
Iris-versicolor,1,SepalLengthCm,5.2
Iris-versicolor,1,SepalLengthCm,5.0
Iris-versicolor,1,SepalLengthCm,5.9
Iris-versicolor,1,SepalLengthCm,6.0
Iris-versicolor,1,SepalLengthCm,6.1
Iris-versicolor,1,SepalLengthCm,5.6
Iris-versicolor,1,SepalLengthCm,6.7
Iris-versicolor,1,SepalLengthCm,5.6
Iris-versicolor,1,SepalLengthCm,5.8
Iris-versicolor,1,SepalLengthCm,6.2
Iris-versicolor,1,SepalLengthCm,5.6
Iris-versicolor,1,SepalLengthCm,5.9
Iris-versicolor,1,SepalLengthCm,6.1
Iris-versicolor,1,SepalLengthCm,6.3
Iris-versicolor,1,SepalLengthCm,6.1
Iris-versicolor,1,SepalLengthCm,6.4
Iris-versicolor,1,SepalLengthCm,6.6
Iris-versicolor,1,SepalLengthCm,6.8
Iris-versicolor,1,SepalLengthCm,6.7
Iris-versicolor,1,SepalLengthCm,6.0
Iris-versicolor,1,SepalLengthCm,5.7
Iris-versicolor,1,SepalLengthCm,5.5
Iris-versicolor,1,SepalLengthCm,5.5
Iris-versicolor,1,SepalLengthCm,5.8
Iris-versicolor,1,SepalLengthCm,6.0
Iris-versicolor,1,SepalLengthCm,5.4
Iris-versicolor,1,SepalLengthCm,6.0
Iris-versicolor,1,SepalLengthCm,6.7
Iris-versicolor,1,SepalLengthCm,6.3
Iris-versicolor,1,SepalLengthCm,5.6
Iris-versicolor,1,SepalLengthCm,5.5
Iris-versicolor,1,SepalLengthCm,5.5
Iris-versicolor,1,SepalLengthCm,6.1
Iris-versicolor,1,SepalLengthCm,5.8
Iris-versicolor,1,SepalLengthCm,5.0
Iris-versicolor,1,SepalLengthCm,5.6
Iris-versicolor,1,SepalLengthCm,5.7
Iris-versicolor,1,SepalLengthCm,5.7
Iris-versicolor,1,SepalLengthCm,6.2
Iris-versicolor,1,SepalLengthCm,5.1
Iris-versicolor,1,SepalLengthCm,5.7
Iris-virginica,2,SepalLengthCm,6.3
Iris-virginica,2,SepalLengthCm,5.8
Iris-virginica,2,SepalLengthCm,7.1
Iris-virginica,2,SepalLengthCm,6.3
Iris-virginica,2,SepalLengthCm,6.5
Iris-virginica,2,SepalLengthCm,7.6
Iris-virginica,2,SepalLengthCm,4.9
Iris-virginica,2,SepalLengthCm,7.3
Iris-virginica,2,SepalLengthCm,6.7
Iris-virginica,2,SepalLengthCm,7.2
Iris-virginica,2,SepalLengthCm,6.5
Iris-virginica,2,SepalLengthCm,6.4
Iris-virginica,2,SepalLengthCm,6.8
Iris-virginica,2,SepalLengthCm,5.7
Iris-virginica,2,SepalLengthCm,5.8
Iris-virginica,2,SepalLengthCm,6.4
Iris-virginica,2,SepalLengthCm,6.5
Iris-virginica,2,SepalLengthCm,7.7
Iris-virginica,2,SepalLengthCm,7.7
Iris-virginica,2,SepalLengthCm,6.0
Iris-virginica,2,SepalLengthCm,6.9
Iris-virginica,2,SepalLengthCm,5.6
Iris-virginica,2,SepalLengthCm,7.7
Iris-virginica,2,SepalLengthCm,6.3
Iris-virginica,2,SepalLengthCm,6.7
Iris-virginica,2,SepalLengthCm,7.2
Iris-virginica,2,SepalLengthCm,6.2
Iris-virginica,2,SepalLengthCm,6.1
Iris-virginica,2,SepalLengthCm,6.4
Iris-virginica,2,SepalLengthCm,7.2
Iris-virginica,2,SepalLengthCm,7.4
Iris-virginica,2,SepalLengthCm,7.9
Iris-virginica,2,SepalLengthCm,6.4
Iris-virginica,2,SepalLengthCm,6.3
Iris-virginica,2,SepalLengthCm,6.1
Iris-virginica,2,SepalLengthCm,7.7
Iris-virginica,2,SepalLengthCm,6.3
Iris-virginica,2,SepalLengthCm,6.4
Iris-virginica,2,SepalLengthCm,6.0
Iris-virginica,2,SepalLengthCm,6.9
Iris-virginica,2,SepalLengthCm,6.7
Iris-virginica,2,SepalLengthCm,6.9
Iris-virginica,2,SepalLengthCm,5.8
Iris-virginica,2,SepalLengthCm,6.8
Iris-virginica,2,SepalLengthCm,6.7
Iris-virginica,2,SepalLengthCm,6.7
Iris-virginica,2,SepalLengthCm,6.3
Iris-virginica,2,SepalLengthCm,6.5
Iris-virginica,2,SepalLengthCm,6.2
Iris-virginica,2,SepalLengthCm,5.9
Iris-setosa,0,SepalWidthCm,3.5
Iris-setosa,0,SepalWidthCm,3.0
Iris-setosa,0,SepalWidthCm,3.2
Iris-setosa,0,SepalWidthCm,3.1
Iris-setosa,0,SepalWidthCm,3.6
Iris-setosa,0,SepalWidthCm,3.9
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,2.9
Iris-setosa,0,SepalWidthCm,3.1
Iris-setosa,0,SepalWidthCm,3.7
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.0
Iris-setosa,0,SepalWidthCm,3.0
Iris-setosa,0,SepalWidthCm,4.0
Iris-setosa,0,SepalWidthCm,4.4
Iris-setosa,0,SepalWidthCm,3.9
Iris-setosa,0,SepalWidthCm,3.5
Iris-setosa,0,SepalWidthCm,3.8
Iris-setosa,0,SepalWidthCm,3.8
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.7
Iris-setosa,0,SepalWidthCm,3.6
Iris-setosa,0,SepalWidthCm,3.3
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.0
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.5
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.2
Iris-setosa,0,SepalWidthCm,3.1
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,4.1
Iris-setosa,0,SepalWidthCm,4.2
Iris-setosa,0,SepalWidthCm,3.1
Iris-setosa,0,SepalWidthCm,3.2
Iris-setosa,0,SepalWidthCm,3.5
Iris-setosa,0,SepalWidthCm,3.1
Iris-setosa,0,SepalWidthCm,3.0
Iris-setosa,0,SepalWidthCm,3.4
Iris-setosa,0,SepalWidthCm,3.5
Iris-setosa,0,SepalWidthCm,2.3
Iris-setosa,0,SepalWidthCm,3.2
Iris-setosa,0,SepalWidthCm,3.5
Iris-setosa,0,SepalWidthCm,3.8
Iris-setosa,0,SepalWidthCm,3.0
Iris-setosa,0,SepalWidthCm,3.8
Iris-setosa,0,SepalWidthCm,3.2
Iris-setosa,0,SepalWidthCm,3.7
Iris-setosa,0,SepalWidthCm,3.3
Iris-versicolor,1,SepalWidthCm,3.2
Iris-versicolor,1,SepalWidthCm,3.2
Iris-versicolor,1,SepalWidthCm,3.1
Iris-versicolor,1,SepalWidthCm,2.3
Iris-versicolor,1,SepalWidthCm,2.8
Iris-versicolor,1,SepalWidthCm,2.8
Iris-versicolor,1,SepalWidthCm,3.3
Iris-versicolor,1,SepalWidthCm,2.4
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,2.7
Iris-versicolor,1,SepalWidthCm,2.0
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.2
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,3.1
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.7
Iris-versicolor,1,SepalWidthCm,2.2
Iris-versicolor,1,SepalWidthCm,2.5
Iris-versicolor,1,SepalWidthCm,3.2
Iris-versicolor,1,SepalWidthCm,2.8
Iris-versicolor,1,SepalWidthCm,2.5
Iris-versicolor,1,SepalWidthCm,2.8
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.8
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,2.6
Iris-versicolor,1,SepalWidthCm,2.4
Iris-versicolor,1,SepalWidthCm,2.4
Iris-versicolor,1,SepalWidthCm,2.7
Iris-versicolor,1,SepalWidthCm,2.7
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,3.4
Iris-versicolor,1,SepalWidthCm,3.1
Iris-versicolor,1,SepalWidthCm,2.3
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.5
Iris-versicolor,1,SepalWidthCm,2.6
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.6
Iris-versicolor,1,SepalWidthCm,2.3
Iris-versicolor,1,SepalWidthCm,2.7
Iris-versicolor,1,SepalWidthCm,3.0
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,2.9
Iris-versicolor,1,SepalWidthCm,2.5
Iris-versicolor,1,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,3.3
Iris-virginica,2,SepalWidthCm,2.7
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,2.9
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,2.5
Iris-virginica,2,SepalWidthCm,2.9
Iris-virginica,2,SepalWidthCm,2.5
Iris-virginica,2,SepalWidthCm,3.6
Iris-virginica,2,SepalWidthCm,3.2
Iris-virginica,2,SepalWidthCm,2.7
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,2.5
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,3.2
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,3.8
Iris-virginica,2,SepalWidthCm,2.6
Iris-virginica,2,SepalWidthCm,2.2
Iris-virginica,2,SepalWidthCm,3.2
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,2.7
Iris-virginica,2,SepalWidthCm,3.3
Iris-virginica,2,SepalWidthCm,3.2
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,3.8
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,2.8
Iris-virginica,2,SepalWidthCm,2.6
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,3.4
Iris-virginica,2,SepalWidthCm,3.1
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,3.1
Iris-virginica,2,SepalWidthCm,3.1
Iris-virginica,2,SepalWidthCm,3.1
Iris-virginica,2,SepalWidthCm,2.7
Iris-virginica,2,SepalWidthCm,3.2
Iris-virginica,2,SepalWidthCm,3.3
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,2.5
Iris-virginica,2,SepalWidthCm,3.0
Iris-virginica,2,SepalWidthCm,3.4
