Species,species_numeric,measurement_type,measurement_value
Iris-virginica,2,SepalWidthCm,3.0
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.7
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.1
Iris-setosa,0,PetalLengthCm,1.2
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.7
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.7
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.0
Iris-setosa,0,PetalLengthCm,1.7
Iris-setosa,0,PetalLengthCm,1.9
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.2
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.3
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.9
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.6
Iris-setosa,0,PetalLengthCm,1.4
Iris-setosa,0,PetalLengthCm,1.5
Iris-setosa,0,PetalLengthCm,1.4
Iris-versicolor,1,PetalLengthCm,4.7
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,4.9
Iris-versicolor,1,PetalLengthCm,4.0
Iris-versicolor,1,PetalLengthCm,4.6
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,4.7
Iris-versicolor,1,PetalLengthCm,3.3
Iris-versicolor,1,PetalLengthCm,4.6
Iris-versicolor,1,PetalLengthCm,3.9
Iris-versicolor,1,PetalLengthCm,3.5
Iris-versicolor,1,PetalLengthCm,4.2
Iris-versicolor,1,PetalLengthCm,4.0
Iris-versicolor,1,PetalLengthCm,4.7
Iris-versicolor,1,PetalLengthCm,3.6
Iris-versicolor,1,PetalLengthCm,4.4
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,4.1
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,3.9
Iris-versicolor,1,PetalLengthCm,4.8
Iris-versicolor,1,PetalLengthCm,4.0
Iris-versicolor,1,PetalLengthCm,4.9
Iris-versicolor,1,PetalLengthCm,4.7
Iris-versicolor,1,PetalLengthCm,4.3
Iris-versicolor,1,PetalLengthCm,4.4
Iris-versicolor,1,PetalLengthCm,4.8
Iris-versicolor,1,PetalLengthCm,5.0
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,3.5
Iris-versicolor,1,PetalLengthCm,3.8
Iris-versicolor,1,PetalLengthCm,3.7
Iris-versicolor,1,PetalLengthCm,3.9
Iris-versicolor,1,PetalLengthCm,5.1
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,4.5
Iris-versicolor,1,PetalLengthCm,4.7
Iris-versicolor,1,PetalLengthCm,4.4
Iris-versicolor,1,PetalLengthCm,4.1
Iris-versicolor,1,PetalLengthCm,4.0
Iris-versicolor,1,PetalLengthCm,4.4
Iris-versicolor,1,PetalLengthCm,4.6
Iris-versicolor,1,PetalLengthCm,4.0
Iris-versicolor,1,PetalLengthCm,3.3
Iris-versicolor,1,PetalLengthCm,4.2
Iris-versicolor,1,PetalLengthCm,4.2
Iris-versicolor,1,PetalLengthCm,4.2
Iris-versicolor,1,PetalLengthCm,4.3
Iris-versicolor,1,PetalLengthCm,3.0
Iris-versicolor,1,PetalLengthCm,4.1
Iris-virginica,2,PetalLengthCm,6.0
Iris-virginica,2,PetalLengthCm,5.1
Iris-virginica,2,PetalLengthCm,5.9
Iris-virginica,2,PetalLengthCm,5.6
Iris-virginica,2,PetalLengthCm,5.8
Iris-virginica,2,PetalLengthCm,6.6
Iris-virginica,2,PetalLengthCm,4.5
Iris-virginica,2,PetalLengthCm,6.3
Iris-virginica,2,PetalLengthCm,5.8
Iris-virginica,2,PetalLengthCm,6.1
Iris-virginica,2,PetalLengthCm,5.1
Iris-virginica,2,PetalLengthCm,5.3
Iris-virginica,2,PetalLengthCm,5.5
Iris-virginica,2,PetalLengthCm,5.0
Iris-virginica,2,PetalLengthCm,5.1
Iris-virginica,2,PetalLengthCm,5.3
Iris-virginica,2,PetalLengthCm,5.5
Iris-virginica,2,PetalLengthCm,6.7
Iris-virginica,2,PetalLengthCm,6.9
Iris-virginica,2,PetalLengthCm,5.0
Iris-virginica,2,PetalLengthCm,5.7
Iris-virginica,2,PetalLengthCm,4.9
Iris-virginica,2,PetalLengthCm,6.7
Iris-virginica,2,PetalLengthCm,4.9
Iris-virginica,2,PetalLengthCm,5.7
Iris-virginica,2,PetalLengthCm,6.0
Iris-virginica,2,PetalLengthCm,4.8
Iris-virginica,2,PetalLengthCm,4.9
Iris-virginica,2,PetalLengthCm,5.6
Iris-virginica,2,PetalLengthCm,5.8
Iris-virginica,2,PetalLengthCm,6.1
Iris-virginica,2,PetalLengthCm,6.4
Iris-virginica,2,PetalLengthCm,5.6
Iris-virginica,2,PetalLengthCm,5.1
Iris-virginica,2,PetalLengthCm,5.6
Iris-virginica,2,PetalLengthCm,6.1
Iris-virginica,2,PetalLengthCm,5.6
Iris-virginica,2,PetalLengthCm,5.5
Iris-virginica,2,PetalLengthCm,4.8
Iris-virginica,2,PetalLengthCm,5.4
Iris-virginica,2,PetalLengthCm,5.6
Iris-virginica,2,PetalLengthCm,5.1
Iris-virginica,2,PetalLengthCm,5.1
Iris-virginica,2,PetalLengthCm,5.9
Iris-virginica,2,PetalLengthCm,5.7
Iris-virginica,2,PetalLengthCm,5.2
Iris-virginica,2,PetalLengthCm,5.0
Iris-virginica,2,PetalLengthCm,5.2
Iris-virginica,2,PetalLengthCm,5.4
Iris-virginica,2,PetalLengthCm,5.1
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.1
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.1
Iris-setosa,0,PetalWidthCm,0.1
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.5
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.1
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.1
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.1
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.6
Iris-setosa,0,PetalWidthCm,0.4
Iris-setosa,0,PetalWidthCm,0.3
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-setosa,0,PetalWidthCm,0.2
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.6
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.1
Iris-versicolor,1,PetalWidthCm,1.8
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.2
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.7
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.1
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.2
Iris-versicolor,1,PetalWidthCm,1.6
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.6
Iris-versicolor,1,PetalWidthCm,1.5
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.2
Iris-versicolor,1,PetalWidthCm,1.4
Iris-versicolor,1,PetalWidthCm,1.2
Iris-versicolor,1,PetalWidthCm,1.0
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.2
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.3
Iris-versicolor,1,PetalWidthCm,1.1
Iris-versicolor,1,PetalWidthCm,1.3
Iris-virginica,2,PetalWidthCm,2.5
Iris-virginica,2,PetalWidthCm,1.9
Iris-virginica,2,PetalWidthCm,2.1
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,2.2
Iris-virginica,2,PetalWidthCm,2.1
Iris-virginica,2,PetalWidthCm,1.7
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,2.5
Iris-virginica,2,PetalWidthCm,2.0
Iris-virginica,2,PetalWidthCm,1.9
Iris-virginica,2,PetalWidthCm,2.1
Iris-virginica,2,PetalWidthCm,2.0
Iris-virginica,2,PetalWidthCm,2.4
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,2.2
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,1.5
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,2.0
Iris-virginica,2,PetalWidthCm,2.0
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,2.1
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,2.1
Iris-virginica,2,PetalWidthCm,1.6
Iris-virginica,2,PetalWidthCm,1.9
Iris-virginica,2,PetalWidthCm,2.0
Iris-virginica,2,PetalWidthCm,2.2
Iris-virginica,2,PetalWidthCm,1.5
Iris-virginica,2,PetalWidthCm,1.4
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,2.4
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,1.8
Iris-virginica,2,PetalWidthCm,2.1
Iris-virginica,2,PetalWidthCm,2.4
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,1.9
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,2.5
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,1.9
Iris-virginica,2,PetalWidthCm,2.0
Iris-virginica,2,PetalWidthCm,2.3
Iris-virginica,2,PetalWidthCm,1.8
